 	LSOA.Code	LSOA.Name	LA.Code	LA.Name	Region	Estimated.number.of.households	Estimated.number.of.Fuel.Poor.Households	Proportion.of.households.fuel.poor....	
17793	E01018327	Cheshire West and Chester 033B	E06000050	Cheshire West and Chester	North West	161	189	16.2	1166.6666666667
17795	E01018329	Cheshire West and Chester 034C	E06000050	Cheshire West and Chester	North West	46	249	23.8	1046.218487395
17930	E01018465	Cheshire East 041A	E06000049	Cheshire East	North West	154	271	23.4	1158.1196581197
17931	E01018466	Cheshire East 036D	E06000049	Cheshire East	North West	114	188	16.9	1112.426035503
18027	E01018563	Cheshire West and Chester 007D	E06000050	Cheshire West and Chester	North West	28	107	10.4	1028.8461538462
18028	E01018564	Cheshire West and Chester 007E	E06000050	Cheshire West and Chester	North West	109	155	14	1107.1428571429
18041	E01018577	Cheshire East 013C	E06000049	Cheshire East	North West	105	177	16	1106.25
18055	E01018591	Cheshire East 020A	E06000049	Cheshire East	North West	21	301	29.5	1020.3389830509
18061	E01018597	Cheshire East 020B	E06000049	Cheshire East	North West	14	398	39.3	1012.7226463104
18090	E01018626	Cheshire East 016A	E06000049	Cheshire East	North West	51	161	15.3	1052.2875816994
18133	E01018669	Cheshire East 020C	E06000049	Cheshire East	North West	91	307	28.1	1092.5266903915
18134	E01018670	Cheshire East 020D	E06000049	Cheshire East	North West	18	260	25.6	1015.625
18177	E01018713	Cheshire West and Chester 018A	E06000050	Cheshire West and Chester	North West	131	145	12.8	1132.8125
18222	E01018758	Cornwall 016A	E06000052	Cornwall	South West	59	247	23.3	1060.0858369099
18244	E01018780	Cornwall 034A	E06000052	Cornwall	South West	31	256	24.9	1028.1124497992
18271	E01018809	Cornwall 044C	E06000052	Cornwall	South West	167	187	15.9	1176.1006289308
18286	E01018824	Cornwall 042B	E06000052	Cornwall	South West	67	164	15.4	1064.9350649351
18288	E01018826	Cornwall 040B	E06000052	Cornwall	South West	16	225	22.2	1013.5135135135
