"LSOA.Code"	"LSOA.Name"	"LA.Code"	"LA.Name"	"Region"	"Estimated.number.of.households"	"Estimated.number.of.Fuel.Poor.Households"	"Proportion.of.households.fuel.poor...."
"18133"	"E01018669"	"Cheshire East 020C"	"E06000049"	"Cheshire East"	"North West"	91	147	13.5
"18134"	"E01018670"	"Cheshire East 020D"	"E06000049"	"Cheshire East"	"North West"	18	124	12.2
"18222"	"E01018758"	"Cornwall 016A"	"E06000052"	"Cornwall"	"South West"	59	125	11.8
"18244"	"E01018780"	"Cornwall 034A"	"E06000052"	"Cornwall"	"South West"	31	108	10.5
"18286"	"E01018824"	"Cornwall 042B"	"E06000052"	"Cornwall"	"South West"	67	86	8.1
"18288"	"E01018826"	"Cornwall 040B"	"E06000052"	"Cornwall"	"South West"	16	68	6.7
"18314"	"E01018852"	"Cornwall 040D"	"E06000052"	"Cornwall"	"South West"	114	151	13.6
"18315"	"E01018853"	"Cornwall 042C"	"E06000052"	"Cornwall"	"South West"	43	74	7.1
"18388"	"E01018926"	"Cornwall 011B"	"E06000052"	"Cornwall"	"South West"	60	155	14.6
"18424"	"E01018965"	"Cornwall 006C"	"E06000052"	"Cornwall"	"South West"	28	107	10.4
"18427"	"E01018968"	"Cornwall 004C"	"E06000052"	"Cornwall"	"South West"	39	165	15.9
"18428"	"E01018969"	"Cornwall 003D"	"E06000052"	"Cornwall"	"South West"	44	133	12.8
"18433"	"E01018974"	"Cornwall 002C"	"E06000052"	"Cornwall"	"South West"	40	149	14.3
"18435"	"E01018976"	"Cornwall 067A"	"E06000052"	"Cornwall"	"South West"	9	107	10.6
"18444"	"E01018985"	"Cornwall 058A"	"E06000052"	"Cornwall"	"South West"	24	94	9.2
"18454"	"E01018995"	"Cornwall 068A"	"E06000052"	"Cornwall"	"South West"	80	178	16.5
"18471"	"E01019012"	"Cornwall 054E"	"E06000052"	"Cornwall"	"South West"	37	239	23.1
"18536"	"E01019077"	"Isles of Scilly 001A"	"E06000053"	"Isles of Scilly"	"South West"	26	202	19.7
"18580"	"E01019121"	"Allerdale 009E"	"E07000026"	"Allerdale"	"North West"	26	162	15.8
"18737"	"E01019280"	"Copeland 002B"	"E07000029"	"Copeland"	"North West"	18	66	6.5
"18817"	"E01019360"	"South Lakeland 004A"	"E07000031"	"South Lakeland"	"North West"	47	106	10.1
"18824"	"E01019367"	"South Lakeland 006B"	"E07000031"	"South Lakeland"	"North West"	80	89	8.2
"18827"	"E01019370"	"South Lakeland 003D"	"E07000031"	"South Lakeland"	"North West"	47	94	9
"18864"	"E01019407"	"Amber Valley 010A"	"E07000032"	"Amber Valley"	"East Midlands"	36	192	18.6
"18928"	"E01019472"	"Amber Valley 016D"	"E07000032"	"Amber Valley"	"East Midlands"	144	230	20.1
"18933"	"E01019477"	"Amber Valley 002D"	"E07000032"	"Amber Valley"	"East Midlands"	29	148	14.4
"18947"	"E01019491"	"Bolsover 001C"	"E07000033"	"Bolsover"	"East Midlands"	2	123	12.3
"18959"	"E01019503"	"Bolsover 007A"	"E07000033"	"Bolsover"	"East Midlands"	66	119	11.2
"18968"	"E01019512"	"Bolsover 006D"	"E07000033"	"Bolsover"	"East Midlands"	115	117	10.5
